阿根廷	a gen ting
农业部	nong ye bu
农业科技	nong ye ke ji
农业生产	nong ye sheng chan
农业银行	nong ye yin hang
浓郁	nong yu
农作物	nong zuo wu
努力	nu li
努力提高	nu li ti gao
诺基亚	nuo ji ya
挪用	nuo yong
女的	nv de
女孩	nv hai
女孩子	nv hai zi
女朋友	nv peng you
女人	nv ren
女生	nv sheng
女士	nv shi
女性	nv xing
女友	nv you
女装	nv zhuang
女子	nv zi
殴打	ou da
偶尔	ou er
欧美	ou mei
欧盟	ou meng
偶然	ou ran
呕吐	ou tu
偶像	ou xiang
欧阳	ou yang
欧元	ou yuan
欧洲	ou zhou
排斥	pai chi
排除	pai chu
派出	pai chu
排出	pai chu
派出所	pai chu suo
派的	pai de
拍的	pai de
排队	pai dui
排放	pai fang
拍风景	pai feng jing
排行	pai hang
排行榜	pai hang bang
徘徊	pai huai
排量	pai liang
排列	pai lie
拍卖	pai mai
排名	pai ming
派遣	pai qian
派人	pai ren
拍摄	pai she
排水	pai shui
排序	pai xu
排在	pai zai
拍照	pai zhao
牌照	pai zhao
牌子	pai zi
判定	pan ding
判断	pan duan
判决	pan jue
旁边	pang bian
庞大	pang da
庞大的	pang da de
胖子	pang zi
跑车	pao che
跑到	pao dao
跑了	pao le
泡沫	pao mo
抛弃	pao qi
配备	pei bei
赔偿	pei chang
配方	pei fang
佩服	pei fu
配合	pei he
配件	pei jian
配偶	pei ou
配送	pei song
配送方式	pei song fang shi
配套	pei tao
配套设施	pei tao she shi
陪同	pei tong
培训	pei xun
培训班	pei xun ban
培训机构	pei xun ji gou
培训中心	pei xun zhong xin
培养	pei yang
培养学生	pei yang xue sheng
配有	pei you
培育	pei yu
配置	pei zhi
配制	pei zhi
配置文件	pei zhi wen jian
碰到	peng dao
烹饪	peng ren
朋友	peng you
朋友们	peng you men
膨胀	peng zhang
碰撞	peng zhuang
批次	pi ci
批发	pi fa
批发价	pi fa jia
批发市场	pi fa shi chang
皮肤	pi fu
批复	pi fu
皮革	pi ge
屁股	pi gu
啤酒	pi jiu
疲劳	pi lao
批量	pi liang
披露	pi lu
批判	pi pan
匹配	pi pei
批评	pi ping
脾气	pi qi
譬如	pi ru
批准	pi zhun
批准后	pi zhun hou
偏差	pian cha
片长	pian chang
片段	pian duan
片刻	pian ke
便宜	pian yi
骗子	pian zi
票价	piao jia
票据	piao ju
漂亮	piao liang
品尝	pin chang
频道	pin dao
频繁	pin fan
贫困	pin kun
频率	pin lv
拼命	pin ming
品牌	pin pai
品牌形象	pin pai xing xiang
聘请	pin qing
聘任	pin ren
品味	pin wei
拼音	pin yin
聘用	pin yong
品质	pin zhi
品种	pin zhong
平安	ping an
屏蔽	ping bi
评比	ping bi
评测	ping ce
平常	ping chang
平淡	ping dan
平等	ping deng
评定	ping ding
平凡	ping fan
平方	ping fang
平方公里	ping fang gong li
平方米	ping fang mi
评分	ping fen
评估	ping gu
苹果	ping guo
平和	ping he
平衡	ping heng
评级	ping ji
评价	ping jia
凭借	ping jie
平静	ping jing
瓶颈	ping jing
平均	ping jun
评论	ping lun
平米	ping mi
平面	ping mian
平面设计	ping mian she ji
平民	ping min
屏幕	ping mu
评审	ping shen
平时	ping shi
平台	ping tai
评为	ping wei
评委	ping wei
平稳	ping wen
平行	ping xing
评选	ping xuan
评议	ping yi
平原	ping yuan
凭着	ping zhe
凭证	ping zheng
破案	po an
破产	po chan
破坏	po huai
破解	po jie
破解版	po jie ban
破裂	po lie
迫使	po shi
颇为	po wei
颇有	po you
剖析	pou xi
普遍	pu bian
瀑布	pu bu
普查	pu cha
浦东	pu dong
普洱茶	pu er cha
普及	pu ji
菩萨	pu sa
葡萄	pu tao
葡萄酒	pu tao jiu
普通	pu tong
普通话	pu tong hua
起板	qi ban
起步	qi bu
器材	qi cai
起草	qi cao
汽车	qi che
起床	qi chuang
其次	qi ci
其次是	qi ci shi
期待	qi dai
起到	qi dao
祈祷	qi dao
起到了	qi dao le
气的	qi de
起点	qi dian
启动	qi dong
其二	qi er
启发	qi fa
气氛	qi fen
欺负	qi fu
七个	qi ge
奇怪	qi guai
器官	qi guan
气候	qi hou
其后	qi hou
期货	qi huo
奇迹	qi ji
期间	qi jian
器件	qi jian
其间	qi jian
期间的	qi jian de
器具	qi ju
期刊	qi kan
起来	qi lai
起了	qi le
起码	qi ma
期末	qi mo
期内	qi nei
七年	qi nian
欺骗	qi pian
齐全	qi quan
奇瑞	qi rui
起身	qi shen
其实	qi shi
骑士	qi shi
启示	qi shi
气势	qi shi
岂是	qi shi
歧视	qi shi
其实是	qi shi shi
起诉	qi su
其所	qi suo
其他	qi ta
其他的	qi ta de
其他人	qi ta ren
奇特	qi te
气体	qi ti
企图	qi tu
期望	qi wang
气味	qi wei
气温	qi wen
气息	qi xi
旗下	qi xia
期限	qi xian
期限内	qi xian nei
气象	qi xiang
气象台	qi xiang tai
器械	qi xie
企业	qi ye
企业发展	qi ye fa zhan
企业管理	qi ye guan li
企业家	qi ye jia
企业经营	qi ye jing ying
企业名称	qi ye ming cheng
企业名录	qi ye ming lu
企业内部	qi ye nei bu
企业文化	qi ye wen hua
企业中	qi ye zhong
其一	qi yi
汽油	qi you
其余	qi yu
七月	qi yue
契约	qi yue
欺诈	qi zha
起着	qi zhe
气质	qi zhi
旗帜	qi zhi
其中	qi zhong
其中一个	qi zhong yi ge
其中有	qi zhong you
其主要	qi zhu yao
妻子	qi zi
洽谈	qia tan
前辈	qian bei
签订	qian ding
签订了	qian ding le
前端	qian duan
签发	qian fa
前方	qian fang
前后	qian hou
前进	qian jin
前景	qian jing
千克	qian ke
前款	qian kuan
前来	qian lai
潜力	qian li
千里	qian li
前列	qian lie
前列腺	qian lie xian
乾隆	qian long
前面	qian mian
签名	qian ming
潜能	qian neng
前期	qian qi
嵌入式	qian ru shi
签署	qian shu
潜水	qian shui
前所未有	qian suo wei you
前台	qian tai
前提	qian ti
前提下	qian ti xia
牵头	qian tou
前途	qian tu
千瓦	qian wa
千万	qian wan
千万不要	qian wan bu yao
前往	qian wang
前沿	qian yan
迁移	qian yi
前一	qian yi
牵引	qian yin
千元	qian yuan
签约	qian yue
潜在	qian zai
前者	qian zhe
签证	qian zheng
签字	qian zi
墙壁	qiang bi
强大	qiang da
强的	qiang de
强调	qiang diao
强度	qiang du
强化	qiang hua
强奸	qiang jian
抢劫	qiang jie
强劲	qiang jing
抢救	qiang jiu
强力	qiang li
强烈	qiang lie
墙面	qiang mian
强迫	qiang po
墙上	qiang shang
强势	qiang shi
强行	qiang xing
强有力的	qiang you li de
强制	qiang zhi
强制性	qiang zhi xing
巧克力	qiao ke li
桥梁	qiao liang
切割	qie ge
切换	qie huan
切实	qie shi
切实加强	qie shi jia qiang
亲爱的	qin ai de
侵犯	qin fan
侵犯版权	qin fan ban quan
侵犯了	qin fan le
勤奋	qin fen
侵害	qin hai
禽流感	qin liu gan
亲密	qin mi
亲戚	qin qi
亲切	qin qie
亲情	qin qing
侵权	qin quan
侵权行为	qin quan xing wei
亲人	qin ren
寝室	qin shi
亲属	qin shu
亲自	qin zi
情报	qing bao
请不要	qing bu yao
青菜	qing cai
清朝	qing chao
清澈	qing che
清晨	qing chen
清楚	qing chu
清除	qing chu
清楚地	qing chu de
青春	qing chun
清代	qing dai
清单	qing dan
请到	qing dao
青岛市	qing dao shi
请登录	qing deng lu
请点击	qing dian ji
清风	qing feng
情感	qing gan
青海	qing hai
清华	qing hua
清华大学	qing hua da xue
请及时	qing ji shi
请将	qing jiang
请教	qing jiao
情节	qing jie
清洁	qing jie
请看	qing kan
情况	qing kuang
情况下	qing kuang xia
青睐	qing lai
请来	qing lai
清理	qing li
请联系	qing lian xi
情侣	qing lv
青梅	qing mei
请你	qing ni
青年	qing nian
请您	qing nin
请求	qing qiu
情趣	qing qu
情人	qing ren
情人节	qing ren jie
青山	qing shan
青少年	qing shao nian
清爽	qing shuang
清水	qing shui
轻松	qing song
清算	qing suan
请填写	qing tian xie
倾听	qing ting
请通知	qing tong zhi
青团	qing tuan
轻微	qing wei
请问	qing wen
请勿	qing wu
请勿转载	qing wu zhuan zai
清晰	qing xi
清洗	qing xi
清晰的	qing xi de
请先	qing xian
倾向	qing xiang
倾斜	qing xie
清新	qing xin
情形	qing xing
清醒	qing xing
情绪	qing xu
请选择	qing xuan ze
轻易	qing yi
请用	qing yong
请与	qing yu
请在	qing zai
庆祝	qing zhu
请注明	qing zhu ming
请注意	qing zhu yi
穷人	qiong ren
球场	qiu chang
球队	qiu dui
求购	qiu gou
求购信息	qiu gou xin xi
秋季	qiu ji
球迷	qiu mi
秋天	qiu tian
球员	qiu yuan
求职	qiu zhi
求职者	qiu zhi zhe
求助	qiu zhu
求租	qiu zu
去吧	qu ba
区别	qu bie
取出	qu chu
去除	qu chu
取代	qu dai
渠道	qu dao
取得	qu de
取得了	qu de le
去掉	qu diao
驱动	qu dong
驱动程序	qu dong cheng xu
驱动器	qu dong qi
区分	qu fen
区间	qu jian
取决于	qu jue yu
去看	qu kan
去了	qu le
去买	qu mai
区内	qu nei
去年	qu nian
趋势	qu shi
去世	qu shi
区委	qu wei
趣味	qu wei
曲线	qu xian
区县	qu xian
取消	qu xiao
区域	qu yu
区域内	qu yu nei
去找	qu zhao
区政府	qu zheng fu
去做	qu zuo
全部	quan bu
全场	quan chang
全程	quan cheng
全党	quan dang
全都	quan dou
全额	quan e
全方位	quan fang wei
全国	quan guo
全过程	quan guo cheng
全国各地	quan guo ge di
全集	quan ji
全家	quan jia
全局	quan ju
权利	quan li
权力	quan li
全力	quan li
权利的	quan li de
权利人	quan li ren
全面	quan mian
全面发展	quan mian fa zhan
全面推进	quan mian tui jin
全民	quan min
全年	quan nian
全球	quan qiu
全球化	quan qiu hua
全区	quan qu
全日制	quan ri zhi
全社会	quan she hui
全身	quan shen
全省	quan sheng
全是	quan shi
全世界	quan shi jie
权属	quan shu
全书	quan shu
全套	quan tao
全体	quan ti
全天	quan tian
权威	quan wei
全文	quan wen
权限	quan xian
全县	quan xian
全校	quan xiao
全新	quan xin
全心全意	quan xin quan yi
权益	quan yi
全职	quan zhi
泉州	quan zhou
圈子	quan zi
全自动	quan zi dong
确保	que bao
却被	que bei
却不	que bu
缺点	que dian
确定	que ding
确定了	que ding le
缺乏	que fa
却很	que hen
缺口	que kou
确立	que li
却没有	que mei you
确认	que ren
缺少	que shao
确实	que shi
确实是	que shi shi
缺席	que xi
缺陷	que xian
却也	que ye
却又	que you
却有	que you
确有	que you
却在	que zai
群发	qun fa
群体	qun ti
群众	qun zhong
群众的	qun zhong de
然而	ran er
然后	ran hou
然后再	ran hou zai
燃料	ran liao
燃气	ran qi
燃烧	ran shao
燃油	ran you
让大家	rang da jia
让孩子	rang hai zi
让你	rang ni
让您	rang nin
让人	rang ren
让他	rang ta
让她	rang ta
让它	rang ta
让他们	rang ta men
让我	rang wo
让我们	rang wo men
让学生	rang xue sheng
让自己	rang zi ji
热爱	re ai
热潮	re chao
热点	re dian
热量	re liang
热烈	re lie
热烈的	re lie de
热门	re men
热闹	re nao
热情	re qing
热水	re shui
热水器	re shui qi
热线	re xian
热线电话	re xian dian hua
热心	re xin
人啊	ren a
忍不住	ren bu zhu
人才	ren cai
人才培养	ren cai pei yang
人才市场	ren cai shi chang
人才网	ren cai wang
人次	ren ci
人大	ren da
人大代表	ren da dai biao
认定	ren ding
人多	ren duo
人格	ren ge
人工	ren gong
认购	ren gou
任何	ren he
任何的	ren he de
任何人	ren he ren
任何一个	ren he yi ge
人际关系	ren ji guan xi
人家	ren jia
人间	ren jian
人就	ren jiu
人均	ren jun
认可	ren ke
认可的	ren ke de
人口	ren kou
人类	ren lei
人力	ren li
人力资源	ren li zi yuan
人们	ren men
人民	ren min
人民币	ren min bi
人民法院	ren min fa yuan
人民群众	ren min qun zhong
人民政府	ren min zheng fu
任命	ren ming
人气	ren qi
人去	ren qu
人权	ren quan
人群	ren qun
人身	ren shen
妊娠	ren shen
人参	ren shen
人生	ren sheng
认识	ren shi
人士	ren shi
人是	ren shi
人事	ren shi
人事部	ren shi bu
认识到	ren shi dao
认识的	ren shi de
人事局	ren shi ju
认识了	ren shi le
忍受	ren shou
人数	ren shu
人说	ren shuo
人所	ren suo
人体	ren ti
认同	ren tong
认为	ren wei
人为	ren wei
认为是	ren wei shi
人文	ren wen
任务	ren wu
人物	ren wu
人心	ren xin
人性	ren xing
人性化	ren xing hua
人选	ren xuan
任意	ren yi
人有	ren you
人与	ren yu
人员	ren yuan
人在	ren zai
认真	ren zhen
认真的	ren zhen de
认真贯彻	ren zhen guan che
认真学习	ren zhen xue xi
认证	ren zheng
认知	ren zhi
任职	ren zhi
人之	ren zhi
人中	ren zhong
仍不	reng bu
仍将	reng jiang
仍然	reng ran
仍然是	reng ran shi
仍是	reng shi
仍未	reng wei
仍有	reng you
仍在	reng zai
日报	ri bao
日本人	ri ben ren
日常	ri chang
日常生活	ri chang sheng huo
日出	ri chu
日电	ri dian
日后	ri hou
日记	ri ji
日渐	ri jian
日历	ri li
日内	ri nei
日期	ri qi
日前	ri qian
日趋	ri qu
日益	ri yi
日语	ri yu
日元	ri yuan
日照	ri zhao
日志	ri zhi
日至	ri zhi
日子	ri zi
日子里	ri zi li
融合	rong he
荣获	rong huo
容量	rong liang
容器	rong qi
融入	rong ru
溶液	rong ye
容易	rong yi
荣誉	rong yu
荣誉勋章	rong yu xun zhang
融资	rong zi
柔和	rou he
柔软	rou ruan
肉体	rou ti
肉眼	rou yan
如不	ru bu
如此	ru ci
乳房	ru fang
如果	ru guo
如果不	ru guo bu
如果不是	ru guo bu shi
如果没有	ru guo mei you
如果说	ru guo shuo
如果要	ru guo yao
如果有	ru guo you
如果在	ru guo zai
如何	ru he
如今	ru jin
入境	ru jing
入口	ru kou
入库	ru ku
如来	ru lai
入门	ru men
入侵	ru qin
如是	ru shi
如实	ru shi
入手	ru shou
如同	ru tong
如图	ru tu
如下	ru xia
如需	ru xu
入选	ru xuan
入学	ru xue
如意	ru yi
如有	ru you
如在	ru zai
入住	ru zhu
软件	ruan jian
软件大小	ruan jian da xiao
软件简介	ruan jian jian jie
软件开发	ruan jian kai fa
软件类别	ruan jian lei bie
软件名称	ruan jian ming cheng
软件下载	ruan jian xia zai
软件语言	ruan jian yu yan
瑞典	rui dian
瑞士	rui shi
润滑油	run hua you
若不	ruo bu
弱点	ruo dian
若干	ruo gan
若是	ruo shi
若有	ruo you
萨达姆	sa da mu
赛车	sai che
赛季	sai ji
赛事	sai shi
散步	san bu
三层	san ceng
三次	san ci
三大	san da
三等奖	san deng jiang
散发	san fa
三分	san fen
三分之一	san fen zhi yi
三个	san ge
三个代表	san ge dai biao
三个月	san ge yue
三国	san guo
三级	san ji
三角	san jiao
三类	san lei
三菱	san ling
三楼	san lou
三年	san nian
三农	san nong
三七	san qi
散热	san re
三人	san ren
三是	san shi
三十	san shi
三天	san tian
三维	san wei
散文	san wen
三峡	san xia
三项	san xiang
三星	san xing
三亚	san ya
三月	san yue
三者	san zhe
三种	san zhong
丧失	sang shi
扫描	sao miao
骚扰	sao rao
色彩	se cai
色调	se diao
色情	se qing
色泽	se ze
森林	sen lin
刹车	sha che
杀毒	sha du
杀毒软件	sha du ruan jian
沙发	sha fa
沙拉	sha la
杀了	sha le
沙龙	sha long
沙漠	sha mo
杀人	sha ren
杀手	sha shou
杀死	sha si
沙滩	sha tan
筛选	shai xuan
擅长	shan chang
删除	shan chu
山的	shan de
闪电	shan dian
山顶	shan ding
山东	shan dong
煽动	shan dong
山东省	shan dong sheng
闪光	shan guang
善良	shan liang
山路	shan lu
山区	shan qu
山上	shan shang
山水	shan shui
闪烁	shan shuo
汕头	shan tou
山西	shan xi
陕西	shan xi
山西省	shan xi sheng
陕西省	shan xi sheng
善于	shan yu
山庄	shan zhuang
擅自	shan zi
上班	shang ban
上半年	shang ban nian
上报	shang bao
商标	shang biao
商场	shang chang
商城	shang cheng
上传	shang chuan
上传时间	shang chuan shi jian
上次	shang ci
上的	shang de
上帝	shang di
商店	shang dian
上方	shang fang
上岗	shang gang
上海	shang hai
伤害	shang hai
上海的	shang hai de
上海市	shang hai shi
商户	shang hu
上级	shang ji
商机	shang ji
商家	shang jia
上架	shang jia
上看	shang kan
上课	shang ke
伤口	shang kou
上来	shang lai
上了	shang le
商量	shang liang
商贸	shang mao
上门	shang men
上面	shang mian
商品	shang pin
商品房	shang pin fang
商品价格	shang pin jia ge
商品名称	shang pin ming cheng
商品型号	shang pin xing hao
商铺	shang pu
上前	shang qian
上去	shang qu
商人	shang ren
上升	shang sheng
上市	shang shi
上市公司	shang shi gong si
上世纪	shang shi ji
上述	shang shu
上司	shang si
上网	shang wang
尚未	shang wei
上午	shang wu
商务	shang wu
商务部	shang wu bu
上下	shang xia
上线	shang xian
伤心	shang xin
上学	shang xue
商学院	shang xue yuan
上演	shang yan
商业	shang ye
商业贿赂	shang ye hui lu
商业银行	shang ye yin hang
上一页	shang yi ye
上一主题	shang yi zhu ti
商用	shang yong
上有	shang you
上游	shang you
尚有	shang you
上涨	shang zhang
上周	shang zhou
少的	shao de
烧烤	shao kao
少了	shao le
少量	shao liang
少年	shao nian
少女	shao nv
少数	shao shu
少数民族	shao shu min zu
稍微	shao wei
绍兴	shao xing
少许	shao xu
少于	shao yu
少做	shao zuo
少做一些	shao zuo yi xie
涉案	she an
设备	she bei
设定	she ding
社会保险	she hui bao xian
社会保障	she hui bao zhang
社会发展	she hui fa zhan
社会各界	she hui ge jie
社会化	she hui hua
社会经济	she hui jing ji
社会科学	she hui ke xue
社会上	she hui shang
社会团体	she hui tuan ti
社会效益	she hui xiao yi
社会治安	she hui zhi an
社会主义	she hui zhu yi
设计	she ji
涉及	she ji
射击	she ji
涉及到	she ji dao
设计的	she ji de
设计得	she ji de
涉及的	she ji de
设计师	she ji shi
设立	she li
设立了	she li le
社区	she qu
摄入	she ru
设施	she shi
舌头	she tou
社团	she tuan
涉外	she wai
设为	she wei
设为首页	she wei shou ye
涉嫌	she xian
设想	she xiang
摄像	she xiang
摄像机	she xiang ji
摄像头	she xiang tou
摄影	she ying
设有	she you
设在	she zai
设置	she zhi
设置为	she zhi wei
谁的	shei de
谁都	shei dou
谁能	shei neng
谁是	shei shi
谁也	shei ye
谁知	shei zhi
申办	shen ban
申报	shen bao
身边	shen bian
身材	shen cai
深层	shen ceng
审查	shen cha
深处	shen chu
伸出	shen chu
神的	shen de
审定	shen ding
深度	shen du
身份	shen fen
身份证	shen fen zheng
身高	shen gao
审核	shen he
身后	shen hou
审计	shen ji
神经	shen jing
深刻	shen ke
深刻的	shen ke de
审理	shen li
什么	shen me
什么东西	shen me dong xi
什么呢	shen me ne
什么人	shen me ren
什么是	shen me shi
什么事	shen me shi
什么时候	shen me shi hou
什么样的	shen me yang de
什么也	shen me ye
审美	shen mei
神秘	shen mi
申明	shen ming
审判	shen pan
身旁	shen pang
审批	shen pi
神奇	shen qi
申请	shen qing
神情	shen qing
深情	shen qing
申请表	shen qing biao
申请材料	shen qing cai liao
申请人	shen qing ren
申请书	shen qing shu
深入	shen ru
深入的	shen ru de
深入开展	shen ru kai zhan
神色	shen se
身上	shen shang
深受	shen shou
伸手	shen shou
申诉	shen su
身体	shen ti
身体健康	shen ti jian kang
渗透	shen tou
身为	shen wei
神仙	shen xian
身心	shen xin
沈阳	shen yang
沈阳市	shen yang shi
深夜	shen ye
审议	shen yi
身影	shen ying
深远	shen yuan
深圳	shen zhen
深圳市	shen zhen shi
甚至	shen zhi
慎重	shen zhong
身子	shen zi
生病	sheng bing
生产	sheng chan
生产厂家	sheng chan chang jia
生产工艺	sheng chan gong yi
生产基地	sheng chan ji di
生产技术	sheng chan ji shu
生产经营	sheng chan jing ying
生产力	sheng chan li
生产能力	sheng chan neng li
生产企业	sheng chan qi ye
生产商	sheng chan shang
生产设备	sheng chan she bei
生产线	sheng chan xian
生产者	sheng chan zhe
生成	sheng cheng
声称	sheng cheng
生存	sheng cun
盛大	sheng da
圣诞	sheng dan
圣诞节	sheng dan jie
声道	sheng dao
生的	sheng de
省的	sheng de
生动	sheng dong
省份	sheng fen
升高	sheng gao
生化	sheng hua
升华	sheng hua
盛会	sheng hui
生活	sheng huo
生活方式	sheng huo fang shi
生活中	sheng huo zhong
生活中的	sheng huo zhong de
升级	sheng ji
省级	sheng ji
升级到	sheng ji dao
生姜	sheng jiang
声卡	sheng ka
生了	sheng le
胜利	sheng li
生理	sheng li
生命	sheng ming
声明	sheng ming
生命力	sheng ming li
省内	sheng nei
生气	sheng qi
圣人	sheng ren
生日	sheng ri
省市	sheng shi
生死	sheng si
生态	sheng tai
生态环境	sheng tai huan jing
声望	sheng wang
省委	sheng wei
生物	sheng wu
剩下的	sheng xia de
生效	sheng xiao
生涯	sheng ya
生意	sheng yi
升一下级	sheng yi xia ji
声音	sheng yin
剩余	sheng yu
生育	sheng yu
生于	sheng yu
声誉	sheng yu
生在	sheng zai
生长	sheng zhang
省政府	sheng zheng fu
升值	sheng zhi
是啊	shi a
是按	shi an
失败	shi bai
失败的	shi bai de
时报	shi bao
是被	shi bei
势必	shi bi
识别	shi bie
士兵	shi bing
是不是	shi bu shi
食材	shi cai
石材	shi cai
视察	shi cha
市场	shi chang
时常	shi chang
市场份额	shi chang fen e
市场化	shi chang hua
市场价	shi chang jia
市场价格	shi chang jia ge
市场经济	shi chang jing ji
市场竞争	shi chang jing zheng
市场上	shi chang shang
市场需求	shi chang xu qiu
市场营销	shi chang ying xiao
是从	shi cong
十大	shi da
时代	shi dai
适当	shi dang
适当的	shi dang de
是的	shi de
似的	shi de
使得	shi de
实地	shi di
湿地	shi di
试点	shi dian
试点工作	shi dian gong zuo
适度	shi du
湿度	shi du
时段	shi duan
是对	shi dui
是多么	shi duo me
是多少	shi duo shao
十二月	shi er yue
始发站	shi fa zhan
示范	shi fan
释放	shi fang
是非	shi fei
是非常	shi fei chang
十分	shi fen
是否	shi fou
是该	shi gai
石膏	shi gao
是个	shi ge
诗歌	shi ge
十个	shi ge
是给	shi gei
施工	shi gong
施工单位	shi gong dan wei
事故	shi gu
时光	shi guang
是国内	shi guo nei
是好	shi hao
适合	shi he
是和	shi he
适合于	shi he yu
是很	shi hen
时候	shi hou
事后	shi hou
实惠	shi hui
实际	shi ji
世纪	shi ji
市级	shi ji
时机	shi ji
十几	shi ji
事迹	shi ji
实际情况	shi ji qing kuang
实际上	shi ji shang
石家庄	shi jia zhuang
时间	shi jian
事件	shi jian
实践	shi jian
世间	shi jian
是件	shi jian
时间的	shi jian de
实践的	shi jian de
实践活动	shi jian huo dong
时间里	shi jian li
时间内	shi jian nei
时间为	shi jian wei
实践中	shi jian zhong
是将	shi jiang
视角	shi jiao
世界	shi jie
世界杯	shi jie bei
世界各地	shi jie ge di
世界各国	shi jie ge guo
世界观	shi jie guan
世界里	shi jie li
世界上	shi jie shang
试卷	shi juan
视觉	shi jue
是靠	shi kao
时刻	shi ke
是可以	shi ke yi
时空	shi kong
实力	shi li
实例	shi li
势力	shi li
示例	shi li
视力	shi li
室里	shi li
适量	shi liang
十六	shi liu
石榴	shi liu
十六届	shi liu jie
失落	shi luo
是吗	shi ma
是没	shi mei
失眠	shi mian
市民	shi min
使命	shi ming
是目前	shi mu qian
室内	shi nei
市内	shi nei
是你	shi ni
使你	shi ni
十年	shi nian
是您	shi nin
使您	shi nin
视频	shi pin
食品	shi pin
饰品	shi pin
食品安全	shi pin an quan
时期	shi qi
使其	shi qi
十七	shi qi
事情	shi qing
失去	shi qu
是去	shi qu
市区	shi qu
拾取	shi qu
时区	shi qu
失去了	shi qu le
是让	shi rang
使人	shi ren
诗人	shi ren
是人	shi ren
世人	shi ren
是人类	shi ren lei
十三	shi san
时尚	shi shang
史上	shi shang
世上	shi shang
是谁	shi shei
师生	shi sheng
事实	shi shi
实施	shi shi
实时	shi shi
适时	shi shi
实施办法	shi shi ban fa
实施的	shi shi de
实施方案	shi shi fang an
是世界上	shi shi jie shang
实事求是	shi shi qiu shi
事实上	shi shi shang
实施细则	shi shi xi ze
是谁	shi shui
是说	shi shuo
是他	shi ta
是她	shi ta
使他	shi ta
是它	shi ta
使它	shi ta
是他们	shi ta men
是她们	shi ta men
使他们	shi ta men
是它们	shi ta men
食堂	shi tang
试题	shi ti
实体	shi ti
尸体	shi ti
试听	shi ting
视听	shi ting
石头	shi tou
势头	shi tou
试图	shi tu
视图	shi tu
室外	shi wai
失望	shi wang
视为	shi wei
是位	shi wei
是我	shi wo
使我	shi wo
是我国	shi wo guo
使我们	shi wo men
食物	shi wu
失误	shi wu
事物	shi wu
事务	shi wu
十五	shi wu
实物	shi wu
实务	shi wu
事物的	shi wu de
事务所	shi wu suo
实习	shi xi
实现	shi xian
事先	shi xian
视线	shi xian
时限	shi xian
实现了	shi xian le
事项	shi xiang
是想	shi xiang
失效	shi xiao
是小	shi xiao
实效	shi xiao
实行	shi xing
施行	shi xing
试行	shi xing
师兄	shi xiong
使学生	shi xue sheng
实验	shi yan
试验	shi yan
饰演	shi yan
实验室	shi yan shi
是要	shi yao
事业	shi ye
视野	shi ye
失业	shi ye
事业单位	shi ye dan wei
事业发展	shi ye fa zhan
是以	shi yi
十一	shi yi
是一	shi yi
事宜	shi yi
适宜	shi yi
是一个	shi yi ge
是一家	shi yi jia
是一款	shi yi kuan
是一位	shi yi wei
十一五	shi yi wu
是一项	shi yi xiang
是一样的	shi yi yang de
十一月	shi yi yue
是一种	shi yi zhong
是因为	shi yin wei
适应	shi ying
市盈率	shi ying lv
使用	shi yong
使用的	shi yong de
实用的	shi yong de
适用的	shi yong de
适用范围	shi yong fan wei
使用方法	shi yong fang fa
使用了	shi yong le
使用权	shi yong quan
使用时	shi yong shi
实用性	shi yong xing
适用于	shi yong yu
使用者	shi yong zhe
使用着	shi yong zhe
是由	shi you
石油	shi you
时有	shi you
是由于	shi you yu
是与	shi yu
十月	shi yue
实在	shi zai
是在	shi zai
实在是	shi zai shi
实战	shi zhan
市长	shi zhang
使者	shi zhe
试着	shi zhe
是这样的	shi zhe yang de
是真	shi zhen
市政	shi zheng
市政府	shi zheng fu
是指	shi zhi
使之	shi zhi
实质	shi zhi
始终	shi zhong
时钟	shi zhong
是中国	shi zhong guo
时装	shi zhuang
狮子	shi zi
师资	shi zi
使自己	shi zi ji
失踪	shi zong
十足	shi zu
是最好的	shi zui hao de
手按	shou an
手臂	shou bi
手表	shou biao
收藏	shou cang
收藏本页	shou cang ben ye
收藏夹	shou cang jia
手册	shou ce
手持	shou chi
首次	shou ci
受到	shou dao
收到	shou dao
收到后	shou dao hou
受到了	shou dao le
收到了	shou dao le
手的	shou de
手动	shou dong
首都	shou du
手段	shou duan
守法	shou fa
手法	shou fa
首发	shou fa
收费	shou fei
收费标准	shou fei biao zhun
手感	shou gan
手工	shou gong
收购	shou gou
售后	shou hou
售后服务	shou hou fu wu
收回	shou hui
收获	shou huo
收货人	shou huo ren
手机	shou ji
收集	shou ji
手机短信	shou ji duan xin
手机号码	shou ji hao ma
售价	shou jia
首家	shou jia
首届	shou jie
授课	shou ke
受了	shou le
受理	shou li
手里	shou li
收录	shou lu
寿命	shou ming
首批	shou pi
收取	shou qu
授权	shou quan
授权方式	shou quan fang shi
收入	shou ru
受伤	shou shang
手上	shou shang
收拾	shou shi
首饰	shou shi
手术	shou shu
受损	shou sun
收缩	shou suo
手套	shou tao
熟悉	shou xi
首席	shou xi
手下	shou xia
首先	shou xian
首先要	shou xian yao
手续	shou xu
手续费	shou xu fei
首选	shou xuan
首页	shou ye
收益	shou yi
受益	shou yi
授予	shou yu
手指	shou zhi
收支	shou zhi
手中	shou zhong
数百	shu bai
鼠标	shu biao
蔬菜	shu cai
输出	shu chu
书的	shu de
数的	shu de
书店	shu dian
数额	shu e
书法	shu fa
